# Revit Export Layers
# Maps Categories and Subcategories to layer names and color numbers
# Category <tab> Subcategory <tab> Layer name <tab> Color number <tab>
# Cut layer name <tab> Cut color number
# Do not remove the colon (:) after certain category names.
# -----------------------------------------------------
Air Terminals		IfcAirTerminal			
Analytical Beam Tags		Not Exported			
Analytical Beams		Not Exported			
Analytical Brace Tags		Not Exported			
Analytical Braces		Not Exported			
Analytical Column Tags		Not Exported			
Analytical Columns		Not Exported			
Analytical Floor Tags		Not Exported			
Analytical Floors		Not Exported			
Analytical Foundation Slabs		Not Exported			
Analytical Isolated Foundation Tags		Not Exported			
Analytical Isolated Foundations		Not Exported			
Analytical Slab Foundation Tags		Not Exported			
Analytical Wall Foundation Tags		Not Exported			
Analytical Wall Foundations		Not Exported			
Analytical Wall Tags		Not Exported			
Analytical Walls		Not Exported			
Anchor Tags		Not Exported			
Area Polylines		Not Exported			
Area Tags		Not Exported			
Areas		IfcSpace			
Areas	Color Fill	IfcSpace			
Areas	Interior Fill	IfcSpace			
Areas	Reference	IfcSpace			
Assemblies		IfcElementAssembly			
Bolt Tags		Not Exported			
Cable Tray Fittings		IFCCableCarrierFittingType			
Cable Tray Fittings	Center line	IFCCableCarrierFittingType			
Cable Trays		IFCCableCarrierSegment	CABLETRAYSEGMENT		
Cable Trays	Center line	IFCCableCarrierSegment			
Cable Trays	Drop	IFCCableCarrierSegment			
Cable Trays	Rise	IFCCableCarrierSegment			
Callouts		Not Exported			
Casework		IfcFurniture			
Casework	Hidden Lines	IfcFurniture			
Casework Tags		Not Exported			
Ceiling Tags		Not Exported			
Ceilings		IfcCovering			
Ceilings	Common Edges	IfcCovering			
Ceilings	Cut Pattern	IfcCovering			
Ceilings	Finish 1 [4]	IfcCovering			
Ceilings	Finish 2 [5]	IfcCovering			
Ceilings	Hidden Lines	IfcCovering			
Ceilings	Membrane Layer	IfcCovering			
Ceilings	Structure [1]	IfcCovering			
Ceilings	Substrate [2]	IfcCovering			
Ceilings	Surface Pattern	IfcCovering			
Ceilings	Thermal/Air Layer [3]	IfcCovering			
Color Fill Legends		Not Exported			
Columns		IfcColumn			
Columns	Hidden Lines	IfcColumn			
Communication Devices		IfcBuildingElementProxy			
Conduit Fittings		IFCCableCarrierFitting			
Conduit Fittings	Center line	IFCCableCarrierFitting			
Conduits		IFCCableCarrierSegment	CONDUITSEGMENT		
Conduits	Center line	IFCCableCarrierSegment			
Conduits	Drop	IFCCableCarrierSegment			
Conduits	Rise	IFCCableCarrierSegment			
Constraints		Not Exported			
Contour Labels		Not Exported			
Curtain Panel Tags		Not Exported			
Curtain Panels		IfcCurtainWall			
Curtain Panels	Glass	IfcCurtainWall			
Curtain Panels	Hidden Lines	IfcCurtainWall			
Curtain Systems		IfcCurtainWall			
Curtain Systems	Curtain System Grids	IfcCurtainWall			
Curtain Systems	Hidden Lines	IfcCurtainWall			
Curtain Wall Mullions		IfcCurtainWall			
Curtain Wall Mullions	Hidden Lines	IfcCurtainWall			
Data Devices		IfcElectricApplianceType			
Demolished		Not Exported			
Detail Items		IfcAnnotation			
Detail Items	Heavy Lines	IfcAnnotation			
Detail Items	Hidden Lines	IfcAnnotation			
Detail Items	Light Lines	IfcAnnotation			
Detail Items	Medium Lines	IfcAnnotation			
Dimensions		Not Exported			
Dimensions	Automatic Sketch Dimensions				
Door Tags		Not Exported			
Doors		IfcDoor			
Doors	Architrave	IfcDoor			
Doors	Elevation Swing	IfcDoor			
Doors	Frame/Mullion	IfcDoor			
Doors	Glass	IfcDoor			
Doors	Hidden Lines	IfcDoor			
Doors	Ironmongery	IfcDoor			
Doors	Moulding/Architrave	IfcDoor			
Doors	Opening	IfcDoor			
Doors	Panel	IfcDoor			
Doors	Plan Swing	IfcDoor			
Doors	Structural Opening	IfcDoor			
Duct Accessories		IfcBuildingElementProxy			
Duct Fittings		IfcDuctFitting			
Duct Fittings	Center line	IfcDuctFitting			
Duct Insulations		IfcCovering	INSULATION		
Duct Linings		IfcCovering	WRAPPING		
Duct Placeholders		IfcDuctSegment			
Ducts		IfcDuctSegment			
Ducts	Center line	IfcDuctSegment			
Ducts	Drop	IfcDuctSegment			
Ducts	Rise	IfcDuctSegment			
Electrical Equipment		IfcBuildingElementProxy			
Electrical Equipment	Hidden Lines	IfcBuildingElementProxy			
Electrical Equipment Tags		Not Exported			
Electrical Fixture Tags		Not Exported			
Electrical Fixtures		IfcBuildingElementProxy			
Electrical Fixtures	Hidden Lines	IfcBuildingElementProxy			
Elevations		Not Exported			
Entourage		IfcBuildingElementProxy			
Entourage	Hidden Lines	IfcBuildingElementProxy			
Existing		Not Exported			
Filled region		IfcAnnotation			
Fire Alarm Devices		IfcAlarmType			
Flex Ducts		IfcDuctSegment	FLEXIBLESEGMENT		
Flex Ducts	Center line	IfcDuctSegment			
Flex Ducts	Pattern	IfcDuctSegment			
Flex Pipes		IfcPipeSegment	FLEXIBLESEGMENT		
Flex Pipes	Center Line	IfcPipeSegment			
Flex Pipes	Pattern	IfcPipeSegment			
Floors		IfcSlab			
Floors	Common Edges	IfcSlab			
Floors	Cut Pattern	IfcSlab			
Floors	Finish 1 [4]	IfcSlab			
Floors	Finish 2 [5]	IfcSlab			
Floors	Hidden Lines	IfcSlab			
Floors	Interior Edges	IfcSlab			
Floors	Membrane Layer	IfcSlab			
Floors	Slab Edges	IfcBuildingElementProxy			
Floors	Structure [1]	IfcSlab			
Floors	Substrate [2]	IfcSlab			
Floors	Surface Pattern	IfcSlab			
Floors	Thermal/Air Layer [3]	IfcSlab			
Furniture		IfcFurniture			
Furniture	Hidden Lines	IfcFurniture			
Furniture	Overhead Lines	IfcFurniture			
Furniture Systems		IfcSystemFurnitureElement			
Furniture Systems	Hidden Lines	IfcSystemFurnitureElement			
Generic Annotations		Not Exported			
Generic Model Tags		Not Exported			
Generic Models		IfcBuildingElementProxy			
Generic Models	Hidden Lines	IfcBuildingElementProxy			
Generic Models	IfcOpeningElements	IfcOpeningElement			
Grids		IfcGrid			
Guide Grid		Not Exported			
Hole Tags		Not Exported			
HVAC Zones		IfcZone			
HVAC Zones	Boundary	IfcZone			
HVAC Zones	Color Fill	IfcZone			
HVAC Zones	Interior Fill	IfcZone			
HVAC Zones	Reference Lines	IfcZone			
Imports in Families		IfcBuildingElementProxy			
Levels		IfcBuildingStorey			
Lighting Devices		IfcBuildingElementProxy			
Lighting Fixture Tags		Not Exported			
Lighting Fixtures		IfcLightFixtureType			
Lighting Fixtures	Hidden Lines	IfcLightFixtureType			
Lighting Fixtures	Light Source	IfcLightFixtureType			
Lines		IfcAnnotation			
Lines	<Area Boundary>	IfcAnnotation			
Lines	<Beyond>	IfcAnnotation			
Lines	<Centerline>	IfcAnnotation			
Lines	<Demolished>	IfcAnnotation			
Lines	<Fabric Envelope>	IfcAnnotation			
Lines	<Fabric Sheets>	IfcAnnotation			
Lines	<Hidden>	IfcAnnotation			
Lines	<Overhead>	IfcAnnotation			
Lines	<Revision Cloud>	IfcAnnotation			
Lines	<Room Separation>	IfcAnnotation			
Lines	<Sketch>	IfcAnnotation			
Lines	<Space Separation>	IfcAnnotation			
Lines	<Stair/Ramp Sketch: Boundary>				
Lines	<Stair/Ramp Sketch: Landing Center>				
Lines	<Stair/Ramp Sketch: Riser>				
Lines	<Stair/Ramp Sketch: Run>				
Lines	Axis of Rotation	IfcAnnotation			
Lines	Hidden Lines	IfcAnnotation			
Lines	Insulation Batting Lines	IfcAnnotation			
Lines	Lines	IfcAnnotation			
Lines	Medium Lines	IfcAnnotation			
Lines	Thin Lines	IfcAnnotation			
Lines	Wide Lines	IfcAnnotation			
Mass		IfcBuildingElementProxy			
Mass	Form	IfcBuildingElementProxy			
Mass	Gridlines	IfcBuildingElementProxy			
Mass	Hidden Lines	IfcBuildingElementProxy			
Mass	Mass Exterior Wall	IfcWall			
Mass	Mass Floor	IfcSlab	FLOOR		
Mass	Mass Glazing	IfcBuildingElementProxy			
Mass	Mass Interior Wall	IfcWall			
Mass	Mass Opening	IfcOpening			
Mass	Mass Roof	IfcRoof			
Mass	Mass Shade	IfcBuildingElementProxy			
Mass	Mass Skylight	IfcBuildingElementProxy			
Mass	Mass Zone	IfcBuildingElementProxy			
Mass	Nodes	IfcBuildingElementProxy			
Mass	Pattern Fill	IfcBuildingElementProxy			
Mass	Pattern Lines	IfcBuildingElementProxy			
Massing		IfcBuildingElementProxy			
Mechanical Equipment		IfcBuildingElementProxy			
Mechanical Equipment	Hidden Lines	IfcBuildingElementProxy			
Mechanical Equipment Set Boundary Lines		Not Exported			
Mechanical Equipment Set Tags		Not Exported			
Mechanical Equipment Tags		Not Exported			
MEP Fabrication Containment		IfcBuildingElementProxy			
MEP Fabrication Containment	Center Line	IfcBuildingElementProxy			
MEP Fabrication Containment	Drop	IfcBuildingElementProxy			
MEP Fabrication Containment	Rise	IfcBuildingElementProxy			
MEP Fabrication Containment	Symbology	IfcBuildingElementProxy			
MEP Fabrication Ductwork		IfcBuildingElementProxy			
MEP Fabrication Ductwork	Center Line	IfcBuildingElementProxy			
MEP Fabrication Ductwork	Drop	IfcBuildingElementProxy			
MEP Fabrication Ductwork	Insulation	IfcBuildingElementProxy			
MEP Fabrication Ductwork	Lining	IfcBuildingElementProxy			
MEP Fabrication Ductwork	Rise	IfcBuildingElementProxy			
MEP Fabrication Ductwork	Symbology	IfcBuildingElementProxy			
